id,short,gallery
"Tihon","Епископ Русской православной церкви, епископ Воронежский и Елецкий, богослов, крупнейший православный религиозный просветитель. Святитель повлиял на творчество Фёдора Достоевского.",
"Mitrofan","Епископ Русской церкви, епископ Воронежский и Елецкий.",
"Konisskij","Епископ Русской православной церкви, философ, педагог, богослов и общественный деятель Речи Посполитой, а затем Российской империи.",
"Feofan","Русский политический и духовный деятель, богослов, писатель, поэт, математик, философ, переводчик, публицист, универсальный ученый. Проповедник, сподвижник Петра Первого",
"Platon","Придворный проповедник, законоучитель наследника императорского престола. Автор труда «Краткая церковная российская история»",
"Innok","Епископ Православной российской церкви. Был инициатором описания монастырских библиотек и передачи хранившихся в них рукописей в научные центры — духовные академии".
"Yaroslav","Князь ростовский, новгородские, Великий князь киевский. При Ярославе Владимировиче на Руси начали строить храмы, стали развиваться культура и образованность, выросла численность населения, Киев стал богатейшим городом, был составлен первый известный свод законов русского права, который вошёл в историю как «Русская правда».",
"Monomah","Князь ростовский, смоленский, Великий киевский князь. Период правления Владимира Мономаха, по сути, стал последним периодом усиления Киевской Руси.",
"Gedimin","Великий князь литовский. Принцип государственного правления при Гедимине стал следующим: «Не разрушать старины, не вводить новизны». Это означало уважительное отношение к землям феодалов и сохранение исторических традиций населения ВКЛ , преемственность в политической и общественной жизни.",
"Olgred","Великий князь литовский, значительно расширивший границы государства",
"Vitovt","Великий князь литовский. Считается, что распространение татар в Литовском государстве — заслуга Витовта",
"IvanIII","Великий князь Московский. Результатом правления стало объединение значительной части русских земель вокруг Москвы и её превращение в центр единого Русского государства, за это он получил прозвище «собиратель земли русской»",
"IvanIV","Первый венчаный царь всея Руси. Проведены реформы военной службы, судебной системы, государственного управления, в том числе внедрены элементы самоуправления на местном уровне. Проведены реформы военной службы, судебной системы, государственного управления, в том числе внедрены элементы самоуправления на местном уровне. Из-за опричного похода на Новгород, не представлен на памятнике.",
"Silvestr","Русский православный священник, политический и литературный деятель. Наставник Ивана Грозного.",
"NastRomanov","Первая жена царя Ивана Васильевича Грозного. Смерть царицы, которую считали отравленной, тяжело отразилась на душевном состоянии Иоанна и была одним из обстоятельств, обостривших его борьбу с боярством.",
"AlexAdahev","Окольничий, воевода, приближённый царя Ивана Грозного. Также являлся начальником Челобитного приказа, постельничим и хранителем личного архива царя вместе с печатью «для скорых и тайных дел»",
"Germogen","Патриарх Московский и всея Руси. При нём были изданы Евангелие, напечатан «Большой Верховный устав»",
"MihFedor","Первый русский царь из династии Романовых. Заключил «вечный мир» со Швецией.",
"Filaret","Церковный и политический деятель Смутного времени и последующей эпохи, Патриарх Московский и всея Руси. Уделял большое внимание печатанию книг и исправлению ошибок в текстах древних рукописей. Учредил «правильню» — особое помещение для справщиков (редакторы древних рукописей).",
"Odrin","дипломат и политик в царствование Алексея Михайловича, боярин. Стал основателем первого русского банка в Пскове, имевшего название «Земская изба»",
"Artamon","Русский государственный деятель, «великого государя ближний боярин», руководитель русского правительства в конце царствования Алексея Михайловича.",
"AlexMih","Второй русский царь из династии Романовых. При нем было составлено и издано Соборное уложение - свод законов Русского царства, действовавший почти 200 лет",
"PetrFirst","Последний царь всея Руси и первый Император Всероссийский. В официальной российской историографии Петра было принято считать одним из наиболее выдающихся государственных деятелей",
"Jakov","Наместник, воевода, боярин, генерал-комиссар, генерал-кригскомиссар, генерал-пленипотенциар-кригс-комиссар.",
"IvanBeckoj","Деятель русского Просвещения, личный секретарь императрицы Екатерины Второй.  Путём воспитания Бецкой стремился создать «новую породу людей» — дворян и представителей других сословий, способных гуманно обращаться с крестьянами и справедливо управлять государством.",
"Kate","Императрица Всероссийская. В культурном отношении Россия окончательно вошла в число великих европейских держав, чему немало способствовала сама императрица. При Екатерине Великой границы Российской империи были значительно раздвинуты на запад и на юг.",
"Bezborodko","Российский государственный деятель, фактически руководивший внешней политикой Российской империи после 1781 года. Один из инициаторов разделов Речи Посполитой.",
"Potemkin","Русский государственный деятель, создатель Черноморского военного флота и его первый главноначальствующий. Провел военную реформу. Большой вклад внёс в гуманизацию взаимоотношений внутри армии. В вопросах обучения и воспитания он обращал главное внимание не на внешний блеск, а на боевую готовность войск.",
"Kochubej","Русский государственный деятель, министр внутренних дел, канцлер Российской империи. Кочубей считал крепостное право «гигантским злом».",
"AlexFirst","Император и самодержец Всероссийский. При нем произошла Отечественная война 1812 года.",
"Speranskij","Русский общественный и государственный деятель, реформатор, законотворец. Под руководством Михаила Михайловича к 1830 году было составлено «Полное собрание законов Российской империи» в 45 томах, в которое были включены Законы, начиная с «Уложения» царя Алексея Михайловича до конца царствования Александра Первого".,
"Voron","Русский государственный и военный деятель. Герой войны 1812 года. Способстовал развитию Новороссийского и Кавказского краев, в частности сопособствовал строительсту Одессы",
"Nick","Император Всероссийский. Открытие первой в России железной дороги Петербург — Царское Село, реформа государственных крестьян, постройка Николаевской железной дороги, соединившей Петербург с Москвой",
